"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 27일","432.14","432.46","433.43","430.36","216.23M","-0.05%"
"2021년 04월 26일","432.36","428.89","432.36","428.68","244.08M","0.94%"
"2021년 04월 23일","428.34","426.68","428.87","422.92","215.68M","0.23%"
"2021년 04월 22일","427.37","427.06","430.44","427.06","202.88M","0.15%"
"2021년 04월 21일","426.75","433.40","433.47","425.93","187.76M","-1.81%"
"2021년 04월 20일","434.60","431.90","434.70","431.38","185.75M","0.61%"
"2021년 04월 19일","431.96","432.74","434.28","431.16","172.93M","-0.11%"
"2021년 04월 16일","432.43","432.43","434.57","430.98","188.08M","-0.05%"
"2021년 04월 15일","432.66","430.41","434.40","430.39","189.53M","0.45%"
"2021년 04월 14일","430.71","429.14","431.65","428.04","154.42M","0.38%"
"2021년 04월 13일","429.08","424.40","429.84","423.89","162.00M","1.15%"
"2021년 04월 12일","424.22","424.73","426.62","423.10","134.97M","-0.02%"
"2021년 04월 09일","424.30","427.26","428.65","423.33","166.99M","-0.60%"
"2021년 04월 08일","426.86","426.73","427.32","424.36","221.93M","0.04%"
"2021년 04월 07일","426.70","426.22","428.38","424.96","176.73M","0.19%"
"2021년 04월 06일","425.88","425.18","427.68","423.35","162.96M","0.24%"
"2021년 04월 05일","424.85","425.15","426.31","422.16","157.71M","0.26%"
"2021년 04월 02일","423.74","422.19","425.13","422.02","163.07M","1.03%"
"2021년 04월 01일","419.42","416.99","419.78","416.51","184.61M","1.06%"
"2021년 03월 31일","415.04","417.12","420.18","415.04","225.86M","-0.38%"
"2021년 03월 30일","416.61","412.32","417.44","412.32","207.51M","1.11%"
"2021년 03월 29일","412.05","413.90","414.72","410.45","312.52M","-0.20%"
"2021년 03월 26일","412.89","409.16","413.04","409.13","305.21M","1.07%"
"2021년 03월 25일","408.53","407.03","411.27","405.59","180.93M","0.35%"
"2021년 03월 24일","407.10","407.32","408.76","404.03","193.07M","-0.39%"
"2021년 03월 23일","408.71","412.89","416.15","408.40","234.50M","-0.95%"
"2021년 03월 22일","412.64","412.92","414.48","410.27","270.01M","-0.07%"
"2021년 03월 19일","412.91","416.70","416.71","410.59","189.02M","-1.00%"
"2021년 03월 18일","417.06","414.97","420.86","414.97","164.06M","0.74%"
"2021년 03월 17일","414.01","417.35","417.67","411.32","132.77M","-0.79%"
"2021년 03월 16일","417.31","414.82","418.06","414.11","155.16M","0.76%"
"2021년 03월 15일","414.18","416.58","417.69","413.61","161.31M","-0.47%"
"2021년 03월 12일","416.13","413.67","417.76","413.67","184.66M","1.24%"
"2021년 03월 11일","411.02","404.36","413.24","404.36","231.92M","1.87%"
"2021년 03월 10일","403.48","406.37","411.22","402.37","172.53M","-0.57%"
"2021년 03월 09일","405.79","407.33","408.83","399.37","313.26M","-0.62%"
"2021년 03월 08일","408.34","412.86","416.37","407.60","216.89M","-0.89%"
"2021년 03월 05일","412.00","413.32","413.78","405.93","293.66M","-0.52%"
"2021년 03월 04일","414.17","419.34","419.34","411.28","214.04M","-1.45%"
"2021년 03월 03일","420.27","414.45","420.27","412.40","198.31M","1.32%"
"2021년 03월 02일","414.80","411.00","422.41","411.00","229.89M","1.19%"
"2021년 02월 26일","409.91","421.19","421.19","406.59","297.50M","-2.98%"
"2021년 02월 25일","422.52","412.05","422.56","412.05","200.31M","3.77%"
"2021년 02월 24일","407.16","415.78","420.05","406.86","252.63M","-2.08%"
"2021년 02월 23일","415.82","415.07","419.58","410.84","228.35M","-0.25%"
"2021년 02월 22일","416.88","421.96","425.90","416.80","272.97M","-0.96%"
"2021년 02월 19일","420.94","417.98","421.36","411.58","246.86M","0.84%"
"2021년 02월 18일","417.44","423.92","425.38","417.44","181.37M","-1.59%"
"2021년 02월 17일","424.20","429.20","429.24","421.77","230.41M","-1.17%"
"2021년 02월 16일","429.24","427.80","432.25","426.73","176.07M","0.52%"
"2021년 02월 15일","427.01","420.85","428.64","420.60","191.24M","1.75%"
"2021년 02월 10일","419.65","418.40","421.48","414.77","184.76M","0.42%"
"2021년 02월 09일","417.91","420.71","424.94","417.87","201.53M","-0.25%"
"2021년 02월 08일","418.95","422.30","424.62","418.37","229.54M","-1.03%"
"2021년 02월 05일","423.30","419.84","424.20","417.85","221.56M","1.19%"
"2021년 02월 04일","418.31","425.92","426.23","415.58","263.57M","-1.62%"
"2021년 02월 03일","425.21","422.69","427.51","419.75","248.28M","0.99%"
"2021년 02월 02일","421.03","416.77","427.63","416.77","219.04M","1.34%"
"2021년 02월 01일","415.45","404.71","415.53","400.59","235.01M","2.69%"
"2021년 01월 29일","404.56","417.92","421.05","402.94","305.30M","-2.84%"
"2021년 01월 28일","416.40","422.92","422.92","413.34","242.94M","-1.72%"
"2021년 01월 27일","423.67","427.11","432.62","423.23","205.61M","-0.72%"
"2021년 01월 26일","426.73","436.27","437.19","425.64","236.60M","-2.42%"
"2021년 01월 25일","437.30","427.64","437.96","427.17","231.21M","2.38%"
